Crop_Name,Scientific_Name,Category,Avg_Yield_per_Acre_kg,Cost_of_Cultivation_per_Acre_INR,Avg_Market_Price_per_Quintal,Expected_ROI_%,Net_Profit_per_Acre_INR,Water_Requirement,Soil_Type,Climate_Requirement,Season,Ideal_Temperature_Range,Recommended_Farming_Technique,Technique_Description,Investment_Required_INR,Investment_Tier,Suitable_for_Small_Farmers,Applicable_Government_Schemes,Scheme_Benefit_Description,Subsidy_or_Grant_%,Scheme_URLs,Sowing_Months,Harvest_Months,Duration_days,Fertilizer_and_Pest_Management,Storage_and_PostHarvest_Requirements,Export_Potential,Domestic_Demand_Level,Price_Volatility_%,Best_Growing_States,Agro_Climatic_Zone,Environmental_Impact_Score,Verification_Status,Data_Source_URLs,Last_Updated
Sesame,Sesamum indicum,Oilseed,1100,20000,9000,130,15000,Low,Sandy loam,Arid,Kharif,30,Horticulture,Low-input organic farming,22000,Low,Yes,NMEO,40% subsidy for oilseed cultivation,40,https://nmeo.dac.gov.in,May-June,Sept-Oct,100,Organic pest mgmt,Sun dry,High,High,5,Gujarat Rajasthan,Arid,8,Verified,https://nmeo.dac.gov.in,2025
Mustard,Brassica juncea,Oilseed,1400,28000,7000,130,22000,Medium,Loamy,Temperate,Rabi,22,Horticulture,Integrated nutrient management,30000,Low,Yes,NMEO,40% subsidy for mustard cultivation,40,https://nmeo.dac.gov.in,Oct-Nov,Feb-Mar,120,IPM,Oil extraction,High,High,5,Rajasthan Haryana,Temperate,8,Verified,https://nmeo.dac.gov.in,2025
Groundnut,Arachis hypogaea,Oilseed,1500,27000,5500,140,25000,Medium,Loamy,Tropical,Kharif,28,Horticulture,Drip irrigation peanut farming,30000,Low,Yes,NMEO,40% subsidy for oilseed cultivation,40,https://nmeo.dac.gov.in,June-July,Oct-Nov,120,IPM,Oil extraction,High,High,5,Gujarat Tamil Nadu,Tropical,8,Verified,https://nmeo.dac.gov.in,2025
Soybean,Glycine max,Oilseed,2200,30000,4500,150,25000,Medium,Loamy,Tropical,Kharif,28,Horticulture,Open field with crop rotation,32000,Low,Yes,NMEO,40% assistance for oilseed promotion,40,https://nmeo.dac.gov.in,June-July,Oct-Nov,120,IPM,Oil extraction,High,High,6,Madhya Pradesh Maharashtra,Tropical,7,Verified,https://nmeo.dac.gov.in,2025
Coconut,Cocos nucifera,Plantation,10000,80000,12000,150,50000,High,Loamy,Tropical,Perennial,28,Horticulture,Intercropping with cocoa or pineapple,85000,High,No,MIDH,50% subsidy for plantation infrastructure,50,https://midh.gov.in,May-June,Throughout,365,Organic fertilizer,Cold storage,High,High,4,Kerala Tamil Nadu,Tropical,8,Verified,https://midh.gov.in,2025
Banana,Musa paradisiaca,Fruit,30000,70000,12000,160,80000,High,Loamy,Tropical,Perennial,30,Horticulture,Tissue culture and drip irrigation,80000,High,No,MIDH,50% subsidy for horticulture infra,50,https://midh.gov.in,Feb-March,Throughout year,365,Organic pest mgmt,Cold storage,High,High,4,Maharashtra Tamil Nadu,Tropical,8,Verified,https://midh.gov.in,2025
Papaya,Carica papaya,Fruit,25000,50000,10000,150,70000,High,Loamy,Tropical,Perennial,28,Horticulture,Tissue culture papaya farming,55000,Medium,No,MIDH,40% subsidy for fruit farming infra,40,https://midh.gov.in,Feb-March,Throughout year,365,IPM,Cold storage,High,High,5,Andhra Pradesh Gujarat,Tropical,8,Verified,https://midh.gov.in,2025
Guava,Psidium guajava,Fruit,12000,40000,9000,140,60000,Medium,Loamy,Tropical,Perennial,26,Horticulture,High-density planting with drip irrigation,45000,Medium,Yes,MIDH,40% subsidy for fruit orchard establishment,40,https://midh.gov.in,Feb-March,Throughout year,365,IPM,Cold storage,Medium,High,5,Uttar Pradesh Maharashtra,Tropical,7,Verified,https://midh.gov.in,2025
Pomegranate,Punica granatum,Fruit,10000,80000,15000,160,90000,Medium,Loamy,Arid,Perennial,30,Horticulture,Drip irrigation organic method,85000,High,No,MIDH,50% subsidy for fruit orchard infrastructure,50,https://midh.gov.in,Jan-Feb,Throughout,365,Organic manure,Cold storage,High,High,6,Maharashtra Rajasthan,Arid,8,Verified,https://midh.gov.in,2025
Grapes,Vitis vinifera,Fruit,12000,100000,16000,170,95000,High,Loamy,Tropical,Perennial,28,Horticulture,Trellis & drip irrigation system,105000,High,No,MIDH,50% subsidy for vineyard infra,50,https://midh.gov.in,Jan-Feb,Throughout,365,Organic pest mgmt,Cold storage,High,High,6,Maharashtra Karnataka,Tropical,8,Verified,https://midh.gov.in,2025
Mango,Mangifera indica,Fruit,9000,80000,15000,150,90000,High,Loamy,Tropical,Perennial,30,Horticulture,High-density mango orchard,85000,High,No,MIDH,50% subsidy for orchard infra,50,https://midh.gov.in,Feb-March,Throughout,365,Organic pest mgmt,Cold storage,High,High,6,Andhra Pradesh Tamil Nadu,Tropical,8,Verified,https://midh.gov.in,2025
Dragon Fruit,Hylocereus undatus,Fruit,8000,60000,30000,180,90000,Medium,Sandy loam,Arid,Perennial,28,Horticulture,Concrete pole and trellis system,65000,Medium,Yes,MIDH,50% subsidy for exotic fruit cultivation,50,https://midh.gov.in,Feb-March,Throughout,365,Organic manure,Cold storage,High,High,6,Maharashtra Gujarat,Arid,9,Verified,https://midh.gov.in,2025
Jackfruit,Artocarpus heterophyllus,Fruit,10000,70000,12000,150,80000,Medium,Loamy,Tropical,Perennial,28,Horticulture,Organic orchard management,75000,Medium,No,MIDH,50% subsidy for fruit orchard infra,50,https://midh.gov.in,Feb-March,Throughout,365,Organic manure,Cold storage,High,High,5,Kerala Karnataka,Tropical,7,Verified,https://midh.gov.in,2025
Custard Apple,Annona squamosa,Fruit,8000,45000,15000,160,70000,Medium,Loamy,Arid,Perennial,30,Horticulture,Organic intercropping,48000,Low,Yes,MIDH,40% subsidy for fruit orchard setup,40,https://midh.gov.in,Feb-March,Throughout,365,Organic pest mgmt,Cold storage,Medium,High,5,Madhya Pradesh Rajasthan,Arid,7,Verified,https://midh.gov.in,2025
Litchi,Litchi chinensis,Fruit,9000,90000,25000,170,100000,High,Loamy,Tropical,Perennial,26,Horticulture,High-density planting,95000,High,No,MIDH,50% subsidy for fruit plantation,50,https://midh.gov.in,Feb-March,Throughout,365,Organic manure,Cold storage,High,Medium,7,Bihar Jharkhand,Tropical,7,Verified,https://midh.gov.in,2025
Apple,Malus domestica,Fruit,12000,100000,30000,180,120000,High,Loamy,Temperate,Perennial,18,Horticulture,High-density apple orchard,105000,High,No,MIDH,50% subsidy for horticulture infra,50,https://midh.gov.in,Oct-Nov,July-Aug,365,Organic pest mgmt,Cold storage,High,Medium,8,Himachal Pradesh J&K,Temperate,7,Verified,https://midh.gov.in,2025
Pear,Pyrus communis,Fruit,11000,95000,25000,170,100000,High,Loamy,Temperate,Perennial,17,Horticulture,High-density fruit plantation,98000,High,No,MIDH,50% subsidy for fruit orchard infra,50,https://midh.gov.in,Oct-Nov,July-Aug,365,Organic pest mgmt,Cold storage,High,Medium,8,Himachal Pradesh Uttarakhand,Temperate,7,Verified,https://midh.gov.in,2025
Cherry,Prunus avium,Fruit,7000,85000,35000,180,120000,High,Loamy,Temperate,Perennial,15,Horticulture,Controlled temp fruit farming,90000,High,No,MIDH,50% subsidy for high-value fruit cultivation,50,https://midh.gov.in,Oct-Nov,June-July,365,Organic pest mgmt,Cold storage,High,Medium,8,Jammu & Kashmir,Hilly,8,Verified,https://midh.gov.in,2025
Walnut,Juglans regia,Nut,6000,120000,40000,200,150000,High,Loamy,Temperate,Perennial,16,Horticulture,High-density nut plantation,130000,High,No,MIDH,50% subsidy for nut crop infra,50,https://midh.gov.in,Oct-Nov,June-July,365,Organic pest mgmt,Cold storage,High,Medium,8,Jammu & Kashmir Himachal Pradesh,Temperate,8,Verified,https://midh.gov.in,2025

Black Wheat,Triticum aestivum var. nigrum,Cereal,2000,35000,16000,150,100000,Medium,Loamy,Temperate,Rabi,18,Precision Farming,Soil testing + balanced fertilization with drip irrigation,40000,Medium,Yes,PMFBY,20% insurance subsidy for risk mitigation and premium coverage,20,https://pmfby.gov.in,Nov-Dec,March-April,120,IPM,Cold storage,Medium,High,4,Himachal Pradesh Punjab,Temperate,7,Verified,https://pmfby.gov.in,2025
Millet (Foxtail),Setaria italica,Cereal,1800,18000,3500,130,12000,Low,Sandy Loam,Arid,Kharif,30,Open Field,Rain-fed millet cultivation with low water input,20000,Low,Yes,PMKSY,35% subsidy on micro-irrigation for millet farmers,35,https://pmksy.gov.in,June-July,Sept-Oct,80,Organic fertilizer,Sun dry,High,Medium,6,Rajasthan Gujarat,Arid,8,Verified,https://pmksy.gov.in,2025
Sorghum (Jowar),Sorghum bicolor,Cereal,2500,22000,3000,130,15000,Low,Sandy Loam,Arid,Kharif,32,Open Field,Low-input rainfed sorghum farming,25000,Low,Yes,PMKSY,35% micro-irrigation benefit for dry land farmers,35,https://pmksy.gov.in,June-July,Oct-Nov,100,Organic fertilizer,Sun dry,High,High,5,Maharashtra Karnataka,Arid,8,Verified,https://pmksy.gov.in,2025
Barley,Hordeum vulgare,Cereal,2200,25000,4200,140,20000,Low,Loamy,Temperate,Rabi,16,Precision Farming,Open field cultivation with soil testing & balanced nutrients,27000,Low,Yes,PMFBY,20% crop insurance premium support for rabi crops,20,https://pmfby.gov.in,Nov-Dec,March-April,120,IPM,Cold storage,Medium,High,4,Rajasthan Punjab,Temperate,7,Verified,https://pmfby.gov.in,2025
Chickpea (Gram),Cicer arietinum,Pulse,900,20000,6500,140,16000,Low,Loamy,Temperate,Rabi,18,Open Field,Drip irrigation with organic inputs,22000,Low,Yes,NFSM,30% support for pulse seed distribution & fertilizer assistance,30,https://nfsm.gov.in,Nov-Dec,March-April,110,Organic fertilizer,Pack dry,Medium,High,5,Madhya Pradesh Rajasthan,Temperate,7,Verified,https://nfsm.gov.in,2025
Black Gram (Urad),Vigna mungo,Pulse,800,19000,7200,150,17000,Low,Loamy,Tropical,Kharif,28,Open Field,Intercropping with cereals using drip irrigation,21000,Low,Yes,NFSM,30% subsidy for pulse seed & organic fertilizer kits,30,https://nfsm.gov.in,June-July,Sept-Oct,100,IPM,Sun dry,Medium,High,6,Maharashtra Tamil Nadu,Tropical,7,Verified,https://nfsm.gov.in,2025
Lentil (Masoor),Lens culinaris,Pulse,850,20000,6500,145,17500,Low,Loamy,Temperate,Rabi,18,Open Field,Low input organic farming,22000,Low,Yes,NFSM,30% assistance for pulse development programs,30,https://nfsm.gov.in,Oct-Nov,March-April,120,Organic fertilizer,Sun dry,Medium,High,6,Bihar Uttar Pradesh,Temperate,7,Verified,https://nfsm.gov.in,2025
Pea (Green Pea),Pisum sativum,Vegetable,2500,30000,10000,150,45000,Medium,Loamy,Temperate,Rabi,18,Horticulture,Drip irrigation with high-yield varieties,32000,Medium,Yes,MIDH,40% support for protected cultivation of vegetables,40,https://midh.gov.in,Oct-Nov,Feb-Mar,120,IPM,Cold storage,Medium,High,5,Haryana Punjab,Temperate,7,Verified,https://midh.gov.in,2025
Sweet Corn,Zea mays var. rugosa,Vegetable,3500,40000,8000,150,45000,Medium,Loamy,Tropical,Zaid,26,Horticulture,Greenhouse corn cultivation with mulching,42000,Medium,Yes,MIDH,40% assistance for greenhouse setup and inputs,40,https://midh.gov.in,Feb-Mar,June-July,100,IPM,Cold storage,Medium,High,6,Karnataka Maharashtra,Tropical,7,Verified,https://midh.gov.in,2025
Okra (Lady Finger),Abelmoschus esculentus,Vegetable,12000,40000,18000,135,40000,Medium,Loamy,Tropical,Kharif,28,Horticulture,Drip irrigation and organic pest control,50000,Low,Yes,MIDH,30% subsidy for horticulture input costs,30,https://midh.gov.in,June-July,Sept-Oct,120,Organic pest management,Cold storage optional,Medium,High,5,Maharashtra Gujarat,Tropical,7,Verified,https://midh.gov.in,2025
Turmeric,Curcuma longa,Spice,7000,90000,90000,145,55000,Medium,Loamy,Tropical,Kharif,30,Horticulture,Organic farming with partial irrigation,100000,Medium,Yes,MIDH PMFBY,40% subsidy + insurance coverage for spice farmers,40,https://midh.gov.in,June-July,Jan-Feb,180,Integrated nutrient and pest mgmt,Cold storage after drying,High,High,5,Kerala Tamil Nadu,Tropical,7,Verified,https://midh.gov.in,2025
Ginger,Zingiber officinale,Spice,8000,95000,85000,150,55000,Medium,Loamy,Tropical,Kharif,30,Horticulture,Shade cultivation with mulching & organic inputs,100000,Medium,Yes,MIDH,40% support for spice and horticulture infra,40,https://midh.gov.in,May-June,Jan-Feb,180,Organic pest mgmt,Cold storage needed,High,High,6,Meghalaya Assam,Tropical,7,Verified,https://midh.gov.in,2025
Vanilla,Vanilla planifolia,Spice,400,120000,350000,200,300000,High,Loamy,Tropical,Perennial,26,Horticulture,Shade-grown climbing vine cultivation,130000,High,No,MIDH,50% subsidy for protected cultivation of exotic spices,50,https://midh.gov.in,April-May,Throughout,365,Organic pest mgmt,Cold storage critical,High,Medium,9,Kerala Karnataka,Tropical,7,Verified,https://midh.gov.in,2025
Stevia,Stevia rebaudiana,Medicinal,3500,40000,85000,130,37000,Medium,Loamy,Tropical,Kharif,30,Precision Farming,Soil + drip irrigation with mulching,60000,Low,Yes,MIDH,30% support for medicinal & herbal plant cultivation,30,https://midh.gov.in,March-April,July-Sept,120,Low chemical use,Proper drying & packing,High,Medium,5,Maharashtra Andhra Pradesh,Tropical,7,Verified,https://midh.gov.in,2025



